title,link,score,score_cnt,top_no,director,writers,actors,types,edit_location,language,dates,play_location,length,rating_per,betters,had_seen,want_see,tags,short_review,review,ask,discussion
肖申克的救赎,https://movie.douban.com/subject/1292052/,9.6,1255964人评价,1,['弗兰克·德拉邦特'],"['弗兰克·德拉邦特', '斯蒂芬·金']","['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒', '克兰西·布朗', '吉尔·贝罗斯', '马克·罗斯顿', '詹姆斯·惠特摩', '杰弗里·德曼', '拉里·布兰登伯格', '尼尔·吉恩托利', '布赖恩·利比', '大卫·普罗瓦尔', '约瑟夫·劳格诺', '祖德·塞克利拉', '保罗·麦克兰尼', '芮妮·布莱恩', '阿方索·弗里曼', 'V·J·福斯特', '弗兰克·梅德拉诺', '马克·迈尔斯', '尼尔·萨默斯', '耐德·巴拉米', '布赖恩·戴拉特', '唐·麦克马纳斯']","['剧情', '犯罪']", 美国, 英语,"['1994', '1994']","['多伦多电影节', '美国']",142,"['83.8%', '14.3%', '1.6%', '0.1%', '0.1%']","['99% 剧情片', '99% 犯罪片']",1591032,155564,"['经典', '励志', '信念', '自由', '人性', '美国', '人生', '剧情']",252697,7279,82,924
霸王别姬,https://movie.douban.com/subject/1291546/,9.6,926228人评价,2,['陈凯歌'],"['芦苇', '李碧华']","['张国荣', '张丰毅', '巩俐', '葛优', '英达', '蒋雯丽', '吴大维', '吕齐', '雷汉', '尹治', '马明威', '费振翔', '智一桐', '李春', '赵海龙', '李丹', '童弟', '沈慧芬', '黄斐']","['剧情', '爱情', '同性']", 中国大陆 / 香港, 汉语普通话,['1993'],['香港'],171,"['81.0%', '16.3%', '2.3%', '0.2%', '0.1%']","['99% 同性片', '99% 爱情片']",1257556,158384,"['经典', '人性', '文艺', '爱情', '人生', '同志', '剧情', '文革']",205144,6044,102,651
这个杀手不太冷,https://movie.douban.com/subject/1295644/,9.4,1153833人评价,3,['吕克·贝松'],['吕克·贝松'],"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗', '彼得·阿佩尔', '迈克尔·巴达鲁科', '艾伦·格里尼', '伊丽莎白·瑞根', '卡尔·马图斯维奇', '弗兰克·赛格', '麦温', '乔治·马丁', '罗伯特·拉萨多', '亚当·布斯奇', '马里奥·托迪斯科', '萨米·纳塞利']","['剧情', '动作', '犯罪']", 法国, 英语 / 意大利语 / 法语,['1994'],['法国'],110,"['74.0%', '22.4%', '3.3%', '0.2%', '0.1%']","['99% 剧情片', '99% 犯罪片']",1639760,135734,"['经典', '温情', '爱情', '人性', '剧情', '犯罪', '动作', '成长']",216992,4316,77,602
阿甘正传,https://movie.douban.com/subject/1292720/,9.4,990160人评价,4,['罗伯特·泽米吉斯'],"['艾瑞克·罗斯', 'Winston Groom']","['汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊', '莎莉·菲尔德', 'Michael Conner Humphreys', '海利·乔·奥斯蒙']","['剧情', '爱情']", 美国, 英语,"['1994', '1994']","['洛杉矶首映', '美国']",142,"['75.2%', '21.3%', '3.2%', '0.2%', '0.1%']","['99% 剧情片', '99% 爱情片']",1380858,117443,"['励志', '经典', '美国', '人生', '成长', '信念', '剧情', '人性']",167696,3728,46,436
美丽人生,https://movie.douban.com/subject/1292063/,9.5,578857人评价,5,['罗伯托·贝尼尼'],"['温琴佐·切拉米', '罗伯托·贝尼尼']","['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克', '玛丽萨·帕雷德斯', '霍斯特·布赫霍尔茨', '利迪娅·阿方西', '朱利亚娜·洛约迪切', '亚美利哥·丰塔尼', '彼得·德·席尔瓦', '弗朗西斯·古佐', '拉法埃拉·莱博罗尼', '克劳迪奥·阿方西', '吉尔·巴罗尼', '马西莫·比安奇', '恩尼奥·孔萨尔维', '吉安卡尔洛·科森蒂诺', '阿伦·克雷格']","['剧情', '喜剧', '爱情', '战争']", 意大利, 意大利语 / 德语 / 英语,['1997'],['意大利'],116,"['79.0%', '18.1%', '2.6%', '0.2%', '0.1%']","['99% 战争片', '99% 爱情片']",731727,214216,"['二战', '亲情', '经典', '意大利', '战争', '温情', '人性', '爱情']",124078,2957,43,339
泰坦尼克号,https://movie.douban.com/subject/1292722/,9.3,926073人评价,6,['詹姆斯·卡梅隆'],['詹姆斯·卡梅隆'],"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍', '格劳瑞亚·斯图尔特', '比尔·帕克斯顿', '伯纳德·希尔', '大卫·沃纳', '维克多·加博', '乔纳森·海德', '苏茜·爱米斯', '刘易斯·阿伯内西', '尼古拉斯·卡斯柯恩', '阿那托利·萨加洛维奇', '丹尼·努齐', '杰森·贝瑞', '伊万·斯图尔特', '艾恩·格拉法德', '乔纳森·菲利普斯', '马克·林赛·查普曼', '理查德·格拉翰', '保罗·布赖特威尔', '艾瑞克·布里登', '夏洛特·查顿', '博纳德·福克斯', '迈克尔·英塞恩', '法妮·布雷特', '马丁·贾维斯', '罗莎琳·艾尔斯', '罗切尔·罗斯', '乔纳森·伊万斯-琼斯', '西蒙·克雷恩', '爱德华德·弗莱彻', '斯科特·安德森', '马丁·伊斯特', '克雷格·凯利', '格雷戈里·库克', '利亚姆·图伊', '詹姆斯·兰开斯特', '艾尔莎·瑞雯', '卢·帕尔特', '泰瑞·佛瑞斯塔', '凯文·德·拉·诺伊']","['剧情', '爱情', '灾难']", 美国, 英语 / 意大利语 / 德语 / 俄语,"['1998', '1997', '1997']","['中国大陆', '东京电影节', '美国']",194,"['70.9%', '24.1%', '4.6%', '0.3%', '0.1%']","['99% 爱情片', '98% 灾难片']",1280629,60996,"['爱情', '经典', '灾难', '美国', '浪漫', '感动', '奥斯卡', '1997']",146206,2244,22,349
千与千寻,https://movie.douban.com/subject/1291561/,9.3,919851人评价,7,['宫崎骏'],['宫崎骏'],"['柊瑠美', '入野自由', '夏木真理', '菅原文太', '中村彰男', '玉井夕海', '神木隆之介', '内藤刚志', '泽口靖子', '我修院达也', '大泉洋', '小林郁夫', '上条恒彦', '小野武彦']","['剧情', '动画', '奇幻']", 日本, 日语,['2001'],['日本'],125,"['69.4%', '25.8%', '4.4%', '0.2%', '0.1%']","['99% 动画片', '99% 奇幻片']",1182462,91330,"['日本', '动画', '动漫', '经典', '成长', '温情', '人性', '吉卜力']",154071,2975,56,408
辛德勒的名单,https://movie.douban.com/subject/1295124/,9.5,519402人评价,8,['史蒂文·斯皮尔伯格'],"['托马斯·肯尼利', '斯蒂文·泽里安']","['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔', '艾伯丝·戴维兹', '马尔戈萨·格贝尔', '马克·伊瓦涅', '碧翠斯·马科拉', '安德烈·瑟韦林', '弗里德里希·冯·图恩', '克齐斯茨托夫·拉夫特', '诺伯特·魏塞尔']","['剧情', '历史', '战争']", 美国, 英语 / 希伯来语 / 德语 / 波兰语,"['1993', '1994']","['华盛顿首映', '美国']",195,"['76.4%', '20.6%', '2.8%', '0.1%', '0.1%']","['99% 战争片', '99% 剧情片']",684025,196423,"['人性', '二战', '经典', '斯皮尔伯格', '战争', '辛德勒的名单', '美国', '剧情']",81807,1759,30,225
盗梦空间,https://movie.douban.com/subject/3541415/,9.3,1004360人评价,9,['克里斯托弗·诺兰'],['克里斯托弗·诺兰'],"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾伦·佩吉', '汤姆·哈迪', '渡边谦', '迪利普·劳', '基里安·墨菲', '汤姆·贝伦杰', '玛丽昂·歌迪亚', '皮特·波斯尔思韦特', '迈克尔·凯恩', '卢卡斯·哈斯', '李太力', '克莱尔·吉尔蕾', '马格努斯·诺兰', '泰勒·吉蕾', '乔纳森·吉尔', '水源士郎', '冈本玉二', '厄尔·卡梅伦', '瑞恩·海沃德', '米兰达·诺兰', '拉什·费加', '蒂姆·科勒赫', '妲露拉·莱莉']","['剧情', '科幻', '悬疑', '冒险']", 美国 / 英国, 英语 / 日语 / 法语,"['2010', '2010']","['中国大陆', '美国']",148,"['69.3%', '26.0%', '4.3%', '0.3%', '0.1%']","['99% 科幻片', '99% 悬疑片']",1407279,145032,"['科幻', '悬疑', '美国', '心理', '剧情', '经典', '哲学', '2010']",212178,5339,99,2044
机器人总动员,https://movie.douban.com/subject/2131459/,9.3,667436人评价,10,['安德鲁·斯坦顿'],"['安德鲁·斯坦顿', '吉姆·里尔顿', '彼特·道格特']","['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗', 'MacInTalk', '约翰·拉岑贝格', '凯茜·纳基麦', '泰迪·牛顿', '鲍伯·伯根', '洛丽·理查德森', '吉姆·瓦德', '彼特·道格特', '安德鲁·斯坦顿', '杰夫·皮金', '约翰·齐甘', '米凯·麦高万', '雪莉·琳恩', '克莱特·惠特克', '唐纳德·富利洛夫', '罗里·艾伦', '杰斯·哈梅尔', '拉瑞恩·纽曼', '扬·拉布森', '保罗·伊丁']","['爱情', '科幻', '动画', '冒险']", 美国, 英语,['2008'],['美国'],98,"['70.8%', '24.4%', '4.5%', '0.2%', '0.1%']","['99% 动画片', '99% 科幻片']",883152,116257,"['动画', '科幻', '美国', '感人', '皮克斯', '爱情', '环保', '迪斯尼']",119559,2513,19,801
忠犬八公的故事,https://movie.douban.com/subject/3011091/,9.3,653679人评价,11,['拉斯·霍尔斯道姆'],"['斯蒂芬·P·林赛', '新藤兼人']","['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利', '田川洋行', '杰森·亚历山大', '罗伯特·卡普荣']",['剧情'], 美国 / 英国, 英语 / 日语,"['2009', '2010']","['西雅图电影节', '英国']",93,"['70.4%', '24.2%', '5.0%', '0.3%', '0.1%']",['99% 剧情片'],994491,118603,"['感人', '温情', '动物', '真实事件改编', '温暖', '美国', '人性', '剧情']",152910,3008,26,208
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,9.2,899470人评价,12,['拉吉库马尔·希拉尼'],"['维德胡·维诺德·乔普拉', '拉吉库马尔·希拉尼', '阿西奇·乔希']","['阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希', '奥米·瓦依达', '博曼·伊拉尼', '莫娜·辛格', '拉杰夫·拉宾德拉纳特安']","['剧情', '喜剧', '爱情', '歌舞']", 印度, 印地语 / 乌尔都语 / 英语,"['2011', '2009']","['中国大陆', '印度']",171,"['67.1%', '25.9%', '6.0%', '0.6%', '0.3%']","['99% 喜剧片', '99% 剧情片']",1184823,79527,"['励志', '印度', '喜剧', '搞笑', '人生', '宝莱坞', '经典', '剧情']",200644,3926,35,403
海上钢琴师,https://movie.douban.com/subject/1292001/,9.2,749707人评价,13,['朱塞佩·托纳多雷'],"['亚利桑德罗·巴里克', '朱塞佩·托纳多雷']","['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '梅兰尼·蒂埃里', '阿尔贝托·巴斯克斯']","['剧情', '音乐']", 意大利, 英语 / 法语,['1998'],['意大利'],165,"['67.2%', '26.5%', '5.6%', '0.5%', '0.2%']","['98% 音乐片', '99% 剧情片']",1009887,164001,"['经典', '海上钢琴师', '音乐', '人生', '意大利', '钢琴', '剧情', '意大利电影']",139562,5128,48,473
